League Name,Team Name,Country
  CHINESE SUPER LEAGUE,Hebei China Fortune,China
  CHINESE SUPER LEAGUE,Henan Jianye,China
  CHINESE SUPER LEAGUE,Jiangsu Suning,China
  CHINESE SUPER LEAGUE,Shandong Luneng Taishan,China
  CHINESE SUPER LEAGUE,Shanghai Greenland Shenhua,China
  CHINESE SUPER LEAGUE,Shanghai SIPG,China
  CHINESE SUPER LEAGUE,Shenzhen F.C.,China
  CHINESE SUPER LEAGUE,Tianjin TEDA,China
  CHINESE SUPER LEAGUE,Tianjin Tianhai,China
  CHINESE SUPER LEAGUE,Wuhan Zall,China
 LIGA DIMAYOR,Alianza Petrolera,Colombia
 LIGA DIMAYOR,América de Cali,Colombia
 LIGA DIMAYOR,Atlético Bucaramanga,Colombia
 LIGA DIMAYOR,Atlético Huila,Colombia
 LIGA DIMAYOR,Atlético Nacional,Colombia
 LIGA DIMAYOR,Cúcuta Deportivo,Colombia
 LIGA DIMAYOR,Deportes Tolima,Colombia
 LIGA DIMAYOR,Deportivo Cali,Colombia
 LIGA DIMAYOR,Deportivo Pasto,Colombia
 LIGA DIMAYOR,Envigado,Colombia
 LIGA DIMAYOR,Independiente Medellín,Colombia
 LIGA DIMAYOR,Jaguares,Colombia
 LIGA DIMAYOR,Junior,Colombia
 LIGA DIMAYOR,La Equidad,Colombia
 LIGA DIMAYOR,Millonarios,Colombia
 LIGA DIMAYOR,Once Caldas,Colombia
 LIGA DIMAYOR,Patriotas,Colombia
 LIGA DIMAYOR,Rionegro Águilas,Colombia
 LIGA DIMAYOR,Santa Fe,Colombia
 LIGA DIMAYOR,Unión Magdalena,Colombia
SUPERLIGA,Aalborg BK,Argentina
SUPERLIGA,Aarhus GF,Argentina
SUPERLIGA,AC Horsens,Argentina
SUPERLIGA,Brøndby IF,Argentina
SUPERLIGA,Esbjerg fB,Argentina
SUPERLIGA,FC København,Argentina
SUPERLIGA,FC Midtjylland,Argentina
SUPERLIGA,FC Nordsjælland,Argentina
SUPERLIGA,Hobro IK,Argentina
SUPERLIGA,Lyngby,Argentina
SUPERLIGA,Odense BK,Argentina
SUPERLIGA,Randers FC,Argentina
SUPERLIGA,Silkeborg IF,Argentina
SUPERLIGA,SønderjyskE,Argentina
Premier League,Arsenal,United Kingdom
Premier League,Aston Villa,United Kingdom
Premier League,Bournemouth,United Kingdom
Premier League,Brighton & Hove Albion,United Kingdom
Premier League,Burnley,United Kingdom
Premier League,Chelsea,United Kingdom
Premier League,Crystal Palace,United Kingdom
Premier League,Everton,United Kingdom
Premier League,Leicester City,United Kingdom
Premier League,Liverpool,United Kingdom
Premier League,Manchester City,United Kingdom
Premier League,Manchester United,United Kingdom
Premier League,Newcastle United,United Kingdom
Premier League,Norwich City,United Kingdom
Premier League,Sheffield United,United Kingdom
Premier League,Southampton,United Kingdom
Premier League,Tottenham,United Kingdom
Premier League,Watford,United Kingdom
Premier League,West Ham,United Kingdom
Premier League,Wolverhampton,United Kingdom
 EFL CHAMPIONSHIP,Barnsley,United Kingdom
 EFL CHAMPIONSHIP,Birmingham City,United Kingdom
 EFL CHAMPIONSHIP,Blackburn Rovers,United Kingdom
 EFL CHAMPIONSHIP,Brentford,United Kingdom
 EFL CHAMPIONSHIP,Bristol City,United Kingdom
 EFL CHAMPIONSHIP,Cardiff City,United Kingdom
 EFL CHAMPIONSHIP,Charlton Athletic,United Kingdom
 EFL CHAMPIONSHIP,Derby County,United Kingdom
 EFL CHAMPIONSHIP,Fulham,United Kingdom
 EFL CHAMPIONSHIP,Huddersfield Town,United Kingdom
 EFL CHAMPIONSHIP,Hull City,United Kingdom
 EFL CHAMPIONSHIP,Leeds United,United Kingdom
 EFL CHAMPIONSHIP,Luton Town,United Kingdom
 EFL CHAMPIONSHIP,Middlesbrough,United Kingdom
 EFL CHAMPIONSHIP,Millwall,United Kingdom
 EFL CHAMPIONSHIP,Nottingham Forest,United Kingdom
 EFL CHAMPIONSHIP,Preston North End,United Kingdom
 EFL CHAMPIONSHIP,Queens Park Rangers,United Kingdom
 EFL CHAMPIONSHIP,Reading,United Kingdom
 EFL CHAMPIONSHIP,Sheffield Wednesday,United Kingdom
 EFL CHAMPIONSHIP,Stoke City,United Kingdom
 EFL CHAMPIONSHIP,Swansea City,United Kingdom
 EFL CHAMPIONSHIP,West Bromwich Albion,United Kingdom
 EFL CHAMPIONSHIP,Wigan Athletic,United Kingdom
LEAGUE ONE,Accrington Stanley,United Kingdom
LEAGUE ONE,AFC Wimbledon,United Kingdom
LEAGUE ONE,Blackpool,United Kingdom
LEAGUE ONE,Bolton Wanderers,United Kingdom
LEAGUE ONE,Bristol Rovers,United Kingdom
LEAGUE ONE,Burton Albion,United Kingdom
LEAGUE ONE,Bury,United Kingdom
LEAGUE ONE,Coventry City,United Kingdom
LEAGUE ONE,Doncaster Rovers,United Kingdom
LEAGUE ONE,Fleetwood Town,United Kingdom
LEAGUE ONE,Gillingham,United Kingdom
LEAGUE ONE,Ipswich Town,United Kingdom
LEAGUE ONE,Lincoln City,United Kingdom
LEAGUE ONE,Milton Keynes Dons,United Kingdom
LEAGUE ONE,Oxford United,United Kingdom
LEAGUE ONE,Peterborough United,United Kingdom
LEAGUE ONE,Portsmouth,United Kingdom
LEAGUE ONE,Rochdale,United Kingdom
LEAGUE ONE,Rotherham United,United Kingdom
LEAGUE ONE,Shrewsbury Town,United Kingdom
LEAGUE ONE,Southend United,United Kingdom
LEAGUE ONE,Sunderland,United Kingdom
LEAGUE ONE,Tranmere Rovers,United Kingdom
LEAGUE ONE,Wycombe Wanderers,United Kingdom
LEAGUE TWO,Bradford City,United Kingdom
LEAGUE TWO,Cambridge United,United Kingdom
LEAGUE TWO,Carlisle United,United Kingdom
LEAGUE TWO,Cheltenham Town,United Kingdom
LEAGUE TWO,Colchester United,United Kingdom
LEAGUE TWO,Crawley Town,United Kingdom
LEAGUE TWO,Crewe Alexandra,United Kingdom
LEAGUE TWO,Exeter City,United Kingdom
LEAGUE TWO,Forest Green Rovers,United Kingdom
LEAGUE TWO,Grimsby Town,United Kingdom
LEAGUE TWO,Leyton Orient,United Kingdom
LEAGUE TWO,Macclesfield Town,United Kingdom
LEAGUE TWO,Mansfield Town,United Kingdom
LEAGUE TWO,Morecambe,United Kingdom
LEAGUE TWO,Newport County,United Kingdom
LEAGUE TWO,Northampton Town,United Kingdom
LEAGUE TWO,Oldham Athletic,United Kingdom
LEAGUE TWO,Plymouth Argyle,United Kingdom
LEAGUE TWO,Port Vale,United Kingdom
LEAGUE TWO,Salford City,United Kingdom
LEAGUE TWO,Scunthorpe United,United Kingdom
LEAGUE TWO,Stevenage,United Kingdom
LEAGUE TWO,Swindon Town,United Kingdom
LEAGUE TWO,Walsall,United Kingdom
LIGUE 1 CONFORAMA,Amiens SC,France
LIGUE 1 CONFORAMA,Angers SCO,France
LIGUE 1 CONFORAMA,AS Monaco,France
LIGUE 1 CONFORAMA,AS Saint-Étienne,France
LIGUE 1 CONFORAMA,Dijon FCO,France
LIGUE 1 CONFORAMA,FC Metz,France
LIGUE 1 CONFORAMA,FC Nantes,France
LIGUE 1 CONFORAMA,Girondins de Bordeaux,France
LIGUE 1 CONFORAMA,LOSC Lille,France
LIGUE 1 CONFORAMA,Montpellier HSC,France
LIGUE 1 CONFORAMA,Nîmes Olympique,France
LIGUE 1 CONFORAMA,OGC Nice,France
LIGUE 1 CONFORAMA,Olympique de Marseille,France
LIGUE 1 CONFORAMA,Olympique lyonnais,France
LIGUE 1 CONFORAMA,Paris Saint-Germain,France
LIGUE 1 CONFORAMA,RC Strasbourg Alsace,France
LIGUE 1 CONFORAMA,Stade brestois 29,France
LIGUE 1 CONFORAMA,Stade de Reims,France
LIGUE 1 CONFORAMA,Stade rennais FC,France
LIGUE 1 CONFORAMA,Toulouse FC,France
DOMINO'S LIGUE 2,AC Ajaccio,France
DOMINO'S LIGUE 3,Auxerre,France
DOMINO'S LIGUE 4,Caen,France
DOMINO'S LIGUE 5,Chambly,France
DOMINO'S LIGUE 6,Châteauroux,France
DOMINO'S LIGUE 7,Clermont Foot,France
DOMINO'S LIGUE 8,Grenoble,France
DOMINO'S LIGUE 9,Guingamp,France
DOMINO'S LIGUE 10,Le Havre,France
DOMINO'S LIGUE 11,Le Mans,France
DOMINO'S LIGUE 12,Lens,France
DOMINO'S LIGUE 13,Lorient,France
DOMINO'S LIGUE 14,Nancy,France
DOMINO'S LIGUE 15,Niort,France
DOMINO'S LIGUE 16,Orléans,France
DOMINO'S LIGUE 17,Paris FC,France
DOMINO'S LIGUE 18,Rodez,France
DOMINO'S LIGUE 19,Sochaux,France
DOMINO'S LIGUE 20,Troyes,France
DOMINO'S LIGUE 21,Valenciennes,France
BUNDESLIGA,1. FC Köln,Germany
BUNDESLIGA,1899 Hoffenheim,Germany
BUNDESLIGA,Bayer Leverkusen,Germany
BUNDESLIGA,Bayern Munich,Germany
BUNDESLIGA,Borussia Dortmund,Germany
BUNDESLIGA,Borussia Mönchengladbach,Germany
BUNDESLIGA,Eintracht Frankfurt,Germany
BUNDESLIGA,FC Augsburg,Germany
BUNDESLIGA,Fortuna Düsseldorf,Germany
BUNDESLIGA,Hertha BSC,Germany
BUNDESLIGA,Mainz 05,Germany
BUNDESLIGA,RB Leipzig,Germany
BUNDESLIGA,SC Freiburg,Germany
BUNDESLIGA,SC Paderborn,Germany
BUNDESLIGA,Schalke 04,Germany
BUNDESLIGA,Union Berlin,Germany
BUNDESLIGA,VfL Wolfsburg,Germany
BUNDESLIGA,Werder Bremen,Germany
 2. BUNDESLIGA,1. FC Heidenheim,Germany
 2. BUNDESLIGA,1. FC Nürnberg,Germany
 2. BUNDESLIGA,Arminia Bielefeld,Germany
 2. BUNDESLIGA,Darmstadt 98,Germany
 2. BUNDESLIGA,Dynamo Dresden,Germany
 2. BUNDESLIGA,Erzgebirge Aue,Germany
 2. BUNDESLIGA,FC St. Pauli,Germany
 2. BUNDESLIGA,Greuther Fürth,Germany
 2. BUNDESLIGA,Hamburger SV,Germany
 2. BUNDESLIGA,Hannover 96,Germany
 2. BUNDESLIGA,Holstein Kiel,Germany
 2. BUNDESLIGA,Jahn Regensburg,Germany
 2. BUNDESLIGA,Karlsruher SC,Germany
 2. BUNDESLIGA,SV Sandhausen,Germany
 2. BUNDESLIGA,VfB Stuttgart,Germany
 2. BUNDESLIGA,VfL Bochum,Germany
 2. BUNDESLIGA,VfL Osnabrück,Germany
 2. BUNDESLIGA,Wehen Wiesbaden,Germany
3. BUNDESLIGA,1. FC Kaiserslautern,Germany
3. BUNDESLIGA,1. FC Magdeburg,Germany
3. BUNDESLIGA,Chemnitzer FC,Germany
3. BUNDESLIGA,Eintracht Braunschweig,Germany
3. BUNDESLIGA,FC Bayern München IIB,Germany
3. BUNDESLIGA,FC Carl Zeiss Jena,Germany
3. BUNDESLIGA,FC Ingolstadt 04,Germany
3. BUNDESLIGA,FC Viktoria Köln,Germany
3. BUNDESLIGA,FSV Zwickau,Germany
3. BUNDESLIGA,Hallescher FC,Germany
3. BUNDESLIGA,Hansa Rostock,Germany
3. BUNDESLIGA,KFC Uerdingen 05,Germany
3. BUNDESLIGA,MSV Duisburg,Germany
3. BUNDESLIGA,Preußen Münster,Germany
3. BUNDESLIGA,SG Sonnenhof Großaspach,Germany
3. BUNDESLIGA,SpVgg Unterhaching,Germany
3. BUNDESLIGA,SV Meppen,Germany
3. BUNDESLIGA,SV Waldhof Mannheim,Germany
3. BUNDESLIGA,TSV 1860 München,Germany
3. BUNDESLIGA,Würzburger Kickers,Germany
EREDIVISIE,ADO Den Haag,Netherlands
EREDIVISIE,Ajax,Netherlands
EREDIVISIE,AZ,Netherlands
EREDIVISIE,FC Emmen,Netherlands
EREDIVISIE,FC Groningen,Netherlands
EREDIVISIE,FC Utrecht,Netherlands
EREDIVISIE,Feyenoord,Netherlands
EREDIVISIE,Fortuna Sittard,Netherlands
EREDIVISIE,Heracles Almelo,Netherlands
EREDIVISIE,PEC Zwolle,Netherlands
EREDIVISIE,PSV,Netherlands
EREDIVISIE,RKC Waalwijk,Netherlands
EREDIVISIE,SC Heerenveen,Netherlands
EREDIVISIE,Sparta Roterdam,Netherlands
EREDIVISIE,Twente,Netherlands
EREDIVISIE,Vitesse,Netherlands
EREDIVISIE,VVV-Venlo,Netherlands
EREDIVISIE,Willem II,Netherlands
SERIE A TIM,Atalanta,Italy
SERIE A TIM,Bologna,Italy
SERIE A TIM,Brescia,Italy
SERIE A TIM,Cagliari,Italy
SERIE A TIM,Fiorentina,Italy
SERIE A TIM,Genoa,Italy
SERIE A TIM,Hellas Verona,Italy
SERIE A TIM,Internazionale,Italy
SERIE A TIM,Lazio,Italy
SERIE A TIM,Lecce,Italy
SERIE A TIM,Milan,Italy
SERIE A TIM,Napoli,Italy
SERIE A TIM,Parma,Italy
SERIE A TIM,Piemonte Calcio,Italy
SERIE A TIM,Roma,Italy
SERIE A TIM,Sampdoria,Italy
SERIE A TIM,Sassuolo,Italy
SERIE A TIM,SPAL,Italy
SERIE A TIM,Torino,Italy
SERIE A TIM,Udinese,Italy
SERIE B,Ascoli,Italy
SERIE B,Benevento,Italy
SERIE B,Chievo,Italy
SERIE B,Cittadella,Italy
SERIE B,Cosenza,Italy
SERIE B,Cremonese,Italy
SERIE B,Crotone,Italy
SERIE B,Empoli,Italy
SERIE B,Frosinone,Italy
SERIE B,Juve Stabia,Italy
SERIE B,Livorno,Italy
SERIE B,Perugia,Italy
SERIE B,Pescara,Italy
SERIE B,Pisa,Italy
SERIE B,Pordenone,Italy
SERIE B,Salernitana,Italy
SERIE B,Spezia,Italy
SERIE B,Trapani,Italy
SERIE B,Venezia,Italy
SERIE B,Virtus Entella,Italy
SERIE B,Cerezo Osaka,Italy
MEIJI YASUDA J1,Consadole Sapporo,Japan
MEIJI YASUDA J1,FC Tokyo,Japan
MEIJI YASUDA J1,Gamba Osaka,Japan
MEIJI YASUDA J1,Júbilo Iwata,Japan
MEIJI YASUDA J1,Kashima Antlers,Japan
MEIJI YASUDA J1,Kawasaki Frontale,Japan
MEIJI YASUDA J1,Matsumoto Yamaga,Japan
MEIJI YASUDA J1,Nagoya Grampus,Japan
MEIJI YASUDA J1,Oita Trinita,Japan
MEIJI YASUDA J1,Sagan Tosu,Japan
MEIJI YASUDA J1,Sanfrecce Hiroshima,Japan
MEIJI YASUDA J1,Shimizu S-Pulse,Japan
MEIJI YASUDA J1,Shonan Bellmare,Japan
MEIJI YASUDA J1,Urawa Red Diamonds,Japan
MEIJI YASUDA J1,Vegalta Sendai,Japan
MEIJI YASUDA J1,Vissel Kobe,Japan
MEIJI YASUDA J1,Yokohama F. Marinos,Japan
K LEAGUE 1,Daegu FC,Korea
K LEAGUE 1,FC Seoul,Korea
K LEAGUE 1,Gangwon FC,Korea
K LEAGUE 1,Gyeongnam FC,Korea
K LEAGUE 1,Incheon United,Korea
K LEAGUE 1,Jeju United,Korea
K LEAGUE 1,Jeonbuk Hyundai Motors,Korea
K LEAGUE 1,Pohang Steelers,Korea
K LEAGUE 1,Sangju Sangmu[a],Korea
K LEAGUE 1,Seongnam FC,Korea
K LEAGUE 1,Suwon Samsung Bluewings,Korea
K LEAGUE 1,Ulsan Hyundai,Korea
LIGA BANCOMER MX,América,Mexico
LIGA BANCOMER MX,Atlas,Mexico
LIGA BANCOMER MX,Atlético de San Luis,Mexico
LIGA BANCOMER MX,Cruz Azul,Mexico
LIGA BANCOMER MX,FC Juárez,Mexico
LIGA BANCOMER MX,Guadalajara,Mexico
LIGA BANCOMER MX,León,Mexico
LIGA BANCOMER MX,Monterrey,Mexico
LIGA BANCOMER MX,Morelia,Mexico
LIGA BANCOMER MX,Necaxa,Mexico
LIGA BANCOMER MX,Pachuca,Mexico
LIGA BANCOMER MX,Puebla,Mexico
LIGA BANCOMER MX,Querétaro,Mexico
LIGA BANCOMER MX,Santos,Mexico
LIGA BANCOMER MX,Tigres,Mexico
LIGA BANCOMER MX,Tijuana,Mexico
LIGA BANCOMER MX,Toluca,Mexico
LIGA BANCOMER MX,UNAM,Mexico
LIGA BANCOMER MX,Veracruz,Mexico
ELITESERIEN,Bodø/Glimt,Norway
ELITESERIEN,Brann,Norway
ELITESERIEN,Haugesund,Norway
ELITESERIEN,Kristiansund,Norway
ELITESERIEN,Lillestrøm,Norway
ELITESERIEN,Mjøndalen,Norway
ELITESERIEN,Molde,Norway
ELITESERIEN,Odds BK,Norway
ELITESERIEN,Ranheim,Norway
ELITESERIEN,Rosenborg,Norway
ELITESERIEN,Sarpsborg 08,Norway
ELITESERIEN,Stabæk,Norway
ELITESERIEN,Strømsgodset,Norway
ELITESERIEN,Tromsø,Norway
ELITESERIEN,Vålerenga,Norway
ELITESERIEN,Viking,Norway
EKSTRAKLASA,Arka Gdynia,Poland
EKSTRAKLASA,Cracovia,Poland
EKSTRAKLASA,Górnik Zabrze,Poland
EKSTRAKLASA,Jagiellonia Białystok,Poland
EKSTRAKLASA,Korona Kielce,Poland
EKSTRAKLASA,Lech Poznań,Poland
EKSTRAKLASA,Lechia Gdańsk,Poland
EKSTRAKLASA,Legia Warszawa,Poland
EKSTRAKLASA,ŁKS Łódź,Poland
EKSTRAKLASA,Piast Gliwice,Poland
EKSTRAKLASA,Pogoń Szczecin,Poland
EKSTRAKLASA,Raków Częstochowa,Poland
EKSTRAKLASA,Śląsk Wrocław,Poland
EKSTRAKLASA,Wisła Kraków,Poland
EKSTRAKLASA,Wisła Płock,Poland
EKSTRAKLASA,Zagłębie Lubin,Poland
 LIGA NOS,Belenenses SAD,Portugal
 LIGA NOS,Boavista,Portugal
 LIGA NOS,Desportivo das Aves,Portugal
 LIGA NOS,Famalicão,Portugal
 LIGA NOS,FC Porto,Portugal
 LIGA NOS,Gil Vicente,Portugal
 LIGA NOS,Marítimo,Portugal
 LIGA NOS,Moreirense,Portugal
 LIGA NOS,Paços de Ferreira,Portugal
 LIGA NOS,Portimonense,Portugal
 LIGA NOS,Rio Ave,Portugal
 LIGA NOS,Santa Clara,Portugal
 LIGA NOS,SL Benfica,Portugal
 LIGA NOS,Sporting,Portugal
 LIGA NOS,Sporting de Braga,Portugal
 LIGA NOS,Tondela,Portugal
 LIGA NOS,Vitória de Guimarães,Portugal
 LIGA NOS,Vitória de Setúbal,Portugal
SSE AIRTRICITY LEAGUE,Bohemians,Ireland
SSE AIRTRICITY LEAGUE,Cork City,Ireland
SSE AIRTRICITY LEAGUE,Derry City,Ireland
SSE AIRTRICITY LEAGUE,Dundalk,Ireland
SSE AIRTRICITY LEAGUE,Finn Harps,Ireland
SSE AIRTRICITY LEAGUE,Shamrock Rovers,Ireland
SSE AIRTRICITY LEAGUE,Sligo Rovers,Ireland
SSE AIRTRICITY LEAGUE,St Patrick’s Athletic,Ireland
SSE AIRTRICITY LEAGUE,UCD,Ireland
SSE AIRTRICITY LEAGUE,Waterford,Ireland
LIGA I,Academica Clinceni,Romania
LIGA I,Astra Giurgiu,Romania
LIGA I,Botoșani,Romania
LIGA I,CFR Cluj,Romania
LIGA I,Chindia Târgoviște,Romania
LIGA I,Dinamo București,Romania
LIGA I,FCSB,Romania
LIGA I,Gaz Metan Mediaș,Romania
LIGA I,Hermannstadt,Romania
LIGA I,Politehnica Iași,Romania
LIGA I,Sepsi Sfântu Gheorghe,Romania
LIGA I,Universitatea Craiova,Romania
LIGA I,Viitorul Constanța,Romania
LIGA I,Voluntari,Romania
ABDUL LATIF JAMEEL LEAGUE,Abha,Saudi Arabia
ABDUL LATIF JAMEEL LEAGUE,Al Adalh,Saudi Arabia
ABDUL LATIF JAMEEL LEAGUE,Al Ahli,Saudi Arabia
ABDUL LATIF JAMEEL LEAGUE,Al Faisaly,Saudi Arabia
ABDUL LATIF JAMEEL LEAGUE,Al Fateh,Saudi Arabia
ABDUL LATIF JAMEEL LEAGUE,Al Feiha,Saudi Arabia
ABDUL LATIF JAMEEL LEAGUE,Al Hazm,Saudi Arabia
ABDUL LATIF JAMEEL LEAGUE,Al Hilal,Saudi Arabia
ABDUL LATIF JAMEEL LEAGUE,Al Ittifaq,Saudi Arabia
ABDUL LATIF JAMEEL LEAGUE,Al Ittihad,Saudi Arabia
ABDUL LATIF JAMEEL LEAGUE,Al Nassr,Saudi Arabia
ABDUL LATIF JAMEEL LEAGUE,Al Raed,Saudi Arabia
ABDUL LATIF JAMEEL LEAGUE,Al Shabab,Saudi Arabia
ABDUL LATIF JAMEEL LEAGUE,Al Taawon,Saudi Arabia
ABDUL LATIF JAMEEL LEAGUE,Al Wahda,Saudi Arabia
ABDUL LATIF JAMEEL LEAGUE,Dhamk,Saudi Arabia
SCOTTISH PREMIERSHIP,Aberdeen,Scotland
SCOTTISH PREMIERSHIP,Celtic,Scotland
SCOTTISH PREMIERSHIP,Hamilton Academical,Scotland
SCOTTISH PREMIERSHIP,Heart of Midlothian,Scotland
SCOTTISH PREMIERSHIP,Hibernian,Scotland
SCOTTISH PREMIERSHIP,Kilmarnock,Scotland
SCOTTISH PREMIERSHIP,Livingston,Scotland
SCOTTISH PREMIERSHIP,Motherwell,Scotland
SCOTTISH PREMIERSHIP,Rangers,Scotland
SCOTTISH PREMIERSHIP,Ross County,Scotland
SCOTTISH PREMIERSHIP,St Johnstone,Scotland
SCOTTISH PREMIERSHIP,St Mirren,Scotland
LALIGA SANTANDER,Alavés,Spain
LALIGA SANTANDER,Athletic Bilbao,Spain
LALIGA SANTANDER,Atlético Madrid,Spain
